Name,Hex
Almond,EFDBC5
Antique Brass,CD9575
Apricot,FDD9B5
Aquamarine,78DBE2
Asparagus,87A96B
Atomic Tangerine,FFA474
Banana Mania,FAE7B5
Beaver,9F8170
Bittersweet,FD7C6E
Black,232323
Blue,1F75FE
Blue Bell,ADADD6
Blue Green,199EBD
Blue Violet,2E5090
Bluetiful,7366BD
Blush,DE5D83
Brick Red,CB4154
Brown,B5674D
Burnt Orange,FF7F49
Burnt Sienna,EA7E5D
Cadet Blue,B0B7C6
Canary,FFFF99
Caribbean Green,1CD3A2
Carnation Pink,FFAACC
Cerise,FF43A4
Cerulean,1DACD6
Chesnut,BC5D58
Copper,DD9475
Cornflower,9ACEEB
Cotton Candy,FFBCD9
Denim,2B6CC4
Desert Sand,EFCDB8
Eggplant,DD4492
Electric Lime,1DF914
Fern,71BC78
Forest Green,6DAE81
Fuchisia,C364C5
Fuzzy Wuzzy Brown,CC6666
Gold,E7C697
Goldenrod,FCD975
Granny Smith Apple,A8E4A0
Gray,95918C
Green,1CAC78
Green Yellow,F0E891
Hot Magenta,FF1DCE
Inch Worm,B2EC5D
Indigo,5D76CB
Jazzberry Jam,CA3767
Jungle Green,3BB08F
Laser Lemon,FDFC74
Lavender,FCB4D5
Macaroni and Cheese,FFBD88
Magenta,FCB4D5
Mahogany,CD4A4A
Manatee,979AAA
Mango Tango,FF8243
Maroon,C8385A
Mauvelous,EF98AA
Melon,FDBCB4
Midnight Blue,1A4876
Mountain Meadow,30BA8F
Navy Blue,1974D2
Neon Carrot,FFA343
Olive Green,BAB86C
Orange,FF7538
Orichid,C0448F
Outer Space,414AAC
Outrageous Orange,FF6E4A
Pacific Blue,1CA9C9
Peach,FFCFAB
Periwinkle,C5D0E6
Piggy Pink,FDD7E4
Pine Green,158078
Pink Flamingo,FC74FD
Pink Sherbet,F780A1
Plum,8E4584
Purple Heart,7442C8
Purple Mountains' Magesty,9D81BA
Purple Pizza,FF1DCE
Radical Red,FF496C
Raw Sienna,D68A59
Razzle Dazzle Rose,E6A8D7
Razzmatazz,E3256B
Red,EE204D
Red Orange,FF5349
Red Violet,c0448f
Robin's Egg Blue,1FCECB
Royal Purple,7851A9
Salmon,FF9BAA
Scarlet,FC2847
Screamin Green,76FF7A
Sea Green,9FE2BF
Sepia,A5694F
Shadow,8A795D
Shamrock,45CEA2
Shocking Pink,FB7EFD
Silver,CDC5C2
Sky Blue,80DAEB
Spring Green,ECEABE
Sunglow,FFCF48
Sunset Orange,FD5E53
Tan,FAA76C
Tickle Me Pink,FC89AC
Timberwolf,DBD7D2
Tropical Rain Forest,17806D
Tumbleweed,DEAA88
Turquoise Blue,77DDE7
Unmellow Yellow,FDFC74
Violet (Purple),926EAE
Violet Red,F75394
Vivid Tangerine,FFA089
Vivid Violet,8F509D
White,EDEDED
Wild Blue Yonder,A2ADD0
Wild Strawberry,F664AF
Wild Watermelon,FC6C85
Wisteria,CDA4DE
Yellow,FCE883
Yellow Green,C5E384
Yellow Orange,FFB653
